"National Pokédex
number",English,Notes
29,Nidoran♀,"It is related to the Nidoran♂ line, and can produce Eggs that contain either Nidoran♀ or Nidoran♂. However, it is the only one of its line that can breed, as Nidorina and Nidoqueen are part of the Undiscovered Egg Group. Both Nidoran's, Nidorina, Nidorino, Poipole, and Naganadel are known as the Poison Pin Pokémon."
32,Nidoran♂,"It was the third Pokémon created, after Rhydon and Kangaskhan. This version of Nidoran, and its evolutions, are more aggressive and have larger spines than the female versions."
83,Farfetch'd,"Farfetch'd is a duck-like Pokémon that has a green onion stalk for a weapon. It battles over stalks and eats them at starving times. It will die over its own stalk and battle for the best stalks. It was originally called ""Okupan"" in early development and was intended to have an evolution named ""Madame"" in Generation II's early development. Its Galarian form is a Fighting Type. The Galarian form appears to resemble a feudal Japan style samurai or ronin, and uses a larger onion stalk."
122,Mr. Mime,"Its pantomiming is the best in the world. If someone interrupts it, it will harshly slap whoever did it with its big, broad hands that can form invisible walls just by vibrating it fingertips. It has aGalarian form that's an Ice/Psychic Type. In the anime, Ash's mom has a Mr. Mime as a housekeeping helper. Mr. Mime is known for creating invisible barriers. Despite being found in both male and female genders, the name never changes."
None[nb 8],MissingNo.,"An error handler species, ""Missing Number"" was created to handle attempts at accessing nonexistent Pokémon species.[79][80] It is regarded as one of the most famous and popular glitches in video game history.[81] This ""Pokemon"" has led to several urban legends and creepypastas."
250,Ho-Oh,"Similar to Moltres, Ho-Oh's design is inspired by the Fenghuang (firebird) of Chinese myth.[34] The master of the Legendary Beasts and the one who resurrected them. Ho-Oh has the distinction of being the first Gen II Pokémon ever seen, debuting in the very first episode of the Pokémon anime long before the revelation of Johto."
,,"In rain, Forecast changes Castform to its ""Rainy Form"", which is Water type and resembles a raindrop."
,,"In hail, Forecast changes Castform to its ""Snowy Form"", which is Ice type and resembles a snowy cloud."
,,"In harsh sunlight, Forecast changes Castform to its ""Sunny Form"", which is Fire type and resembles the sun."
,,"""Sandy Cloak Burmy"" if it lives in a desert or a beach, and"
,,"""Trash Cloak Burmy"" if you take a Burmy into a city."
,,"""Sandy Cloak Wormadam"" if it was evolved at a beach or a desert, and"
,,"""Trash Cloak Wormadam"" if a Burmy happened to evolved in a city."
439,Mime Jr.,"It likes to copy others so if it's in trouble, it can get away while the predator is confused."
474,Porygon-Z,"Upon evolving, something went wrong and it began acting strange. It has not appeared in the anime due to the episode ""Dennō Senshi Porygon,"" which caused Japanese children to have seizures in 1997. Scholars can't tell if its really an evolution based on how it acts."
,,"transform into ""Heat Rotom"" by possessing an oven,"
,,"transform into ""Wash Rotom"" by possessing a washing machine,"
,,"transform into ""Frost Rotom"" by possessing a refrigerator,"
,,"transform into ""Fan Rotom"" by possessing a fan, and"
,,"transform into ""Mow Rotom"" by possessing a lawn mower."
,,"""Sky Forme""As opposed to its original Land Forme, Shaymin becomes the Grass/Flying-type Sky Forme. Shaymin was officially revealed in February 2008, when it was listed as a star of Giratina and the Sky Warrior. In early June of the same year, its Sky Forme was revealed and based on a deer and an angel. Now that it can fly, it takes to the sky, making it really hard to find. The Gracidea flower grants it with gratitude."
